acronym,full_name,description
AWS SAA,AWS Certified Solutions Architect - Associate,
AWS SCS,AWS Certified Security - Specialty,
CCENT,Cisco Certified Entry Networking Technician,
CCNA,Cisco Certified Network Associate,
CDNA,Cisco Certified DevNet Associate,
CEH,Certified Ethical Hacker,
CISSP,Certified Information Systems Security Professional,
CLSA,Certified LAN Server Administrator,
CLSE,Certified LAN Server Engineer,
CNA,Certified Novell Administrator,
CNE,Certified Novell Engineer,
CySA+,Cybersecurity Analyst+,
ISSAP,Information Systems Security Architecture Professional,"Demonstrates expertise in developing, designing, and analyzing security solutions, and in working towards organizational goals by offering reasoned, risk-based guidance to senior management."
MCITP,Microsoft Certified IT Professional,
MCP,Microsoft Certified Professional,+ Internet,
MCSA,Microsoft Certified Systems Administrator,
MCSE,Microsoft Certified Systems Engineer,
MCTS,Microsoft Certified Technology Specialist,
ZTCA,Zero Trust Cyber Associate,

