acronym,full_name,description
ABAC,Attribute-Based Access Control,"A model that grants or denies access based on attributes of the user, resource, action, and environment against defined policies."
CIA,"Confidentiality, Integrity, Availability",
CVE,Common Vulnerabilities and Exposures,A reference method for publicly known information-security vulnerabilities and exposures.
CVSS,Common Vulnerability Scoring System,An open framework for rating the severity of security vulnerabilities in computing systems.
EDR,Endpoint Detection and Response,"Cybersecurity technology that continuously monitors endpoint devices to detect, investigate, and respond to cyber threats in real time."
JIT,Just-In-Time,
OT,Operational Technology,Hardware and software used to monitor control and automate physical processes in industrial settings.
PDP,Policy Decision Points,
PEP,Policy Enforcement Points,
RBAC,Role-Based Access Control,
SOC,Security Operations Center,"A security operations center (SOC) is a dedicated site and centralized team that monitors, detects, investigates, and responds to cybersecurity threats across an organization’s IT environment."
ZTMM,Zero Trust Maturity Model,

